"job_group","badge","company_name","title","deadline","address_main","address_total","experience","education","employment_type","salary","tech_stack","createdAt","crawledAt","url","description"
"Python, C++, Java, Linux, 기술지원 외                    수정일 24/12/10","생산 지원 TOP100","제닉스(주)","제닉스(주) 각 부문별 채용","~ 12/24(화)","충남  천안시 서북구","충남  천안시 서북구","신입·경력","학력무관","정규직","","Python, C++, Java, Linux, 기술지원","2024-12-17T10:40:01.583Z","2024-12-17T10:40:01.583Z","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49562355&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=6d68b33d-8db2-4c9f-a4dc-832537795ec6",""
"Python, Java, Linux, 데이터엔지니어, 앱개발 외                    수정일 24/12/12","IT개발·데이터 스크랩 TOP100","앰코테크놀로지코리아㈜","2024년 하반기 신입/경력사원 공채","~ 12/29(일)","인천  연수구","인천  연수구","신입·경력","대졸↑","정규직","","Python, Java, Linux, 데이터엔지니어, 앱개발","2024-12-17T10:40:01.584Z","2024-12-17T10:40:01.584Z","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49567318&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=6d68b33d-8db2-4c9f-a4dc-832537795ec6",""
"Python, 데이터분석가, 보안컨설팅, 정보보안, 세무사 외                    수정일 24/12/02","운전·운송·배송 지원 TOP100","(주)싸이노스","[삼성반도체 1차 협력사] 사무/연구직 수시 채용","~ 12/31(화)","경기  화성시","경기  화성시","신입·경력","고졸↑","정규직","","Python, 데이터분석가, 보안컨설팅, 정보보안, 세무사","2024-12-17T10:40:01.585Z","2024-12-17T10:40:01.585Z","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49485390&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=6d68b33d-8db2-4c9f-a4dc-832537795ec6",""
"Python, C++, Java, AWS, 솔루션 외                    수정일 24/11/21","연구·R&D 지원 TOP100","(주)케이티디에스","[kt ds] 2024년 각 부문별 경력사원 상시채용","~ 02/28(금)","서울  서초구","서울  서초구","경력2년↑","학력무관","정규직·계약직","","Python, C++, Java, AWS, 솔루션","2024-12-17T10:40:01.585Z","2024-12-17T10:40:01.585Z","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49444384&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=6d68b33d-8db2-4c9f-a4dc-832537795ec6",""
"Python, Java, H/W, S/W, CSS 외                    수정일 24/12/09","연구·R&D 지원 TOP100","(주)영신디엔씨","㈜영신디엔씨 각 부문 신입 및 경력 채용","내일마감","서울  서초구","서울  서초구","신입·경력","대졸↑","정규직·계약직","","Python, Java, H/W, S/W, CSS","2024-12-17T10:40:01.586Z","2024-12-17T10:40:01.586Z","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49534588&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=6d68b33d-8db2-4c9f-a4dc-832537795ec6",""
"Python, C++, Java, 머신러닝, Linux 외                    수정일 24/12/09","서비스 조회 TOP100","한국자동차연구원","2025년도 2월 별정직(계약직) 직원 모집","~ 12/23(월)","충남  천안시","충남  천안시","경력무관","초대졸↑","계약직","","Python, C++, Java, 머신러닝, Linux","2024-12-17T10:40:01.587Z","2024-12-17T10:40:01.587Z","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49541794&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=6d68b33d-8db2-4c9f-a4dc-832537795ec6",""
"Python, Java, AWS, Linux, 백엔드/서버개발 외                    수정일 24/12/02","상품기획·MD 지원 TOP100","(주)비상교육","[주 3일 원격근무] 비상교육 전체직무 상시채용","~ 12/31(화)","경기  과천시","경기  과천시","신입·경력","대졸↑","정규직·계약직","","Python, Java, AWS, Linux, 백엔드/서버개발","2024-12-17T10:40:01.587Z","2024-12-17T10:40:01.587Z","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49509463&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=6d68b33d-8db2-4c9f-a4dc-832537795ec6",""
"Python, Java, AWS, Linux, 빅데이터 외                    수정일 24/12/04","교육 지원 TOP100","청오디피케이(주)","도미노피자 각 부문(자회사 포함) 공개 채용","~ 12/27(금)","서울  강남구","서울  강남구","신입·경력","학력무관","정규직","","Python, Java, AWS, Linux, 빅데이터","2024-12-17T10:40:01.588Z","2024-12-17T10:40:01.588Z","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49518346&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=6d68b33d-8db2-4c9f-a4dc-832537795ec6",""
"Python, C++, Java, 빅데이터, SE(시스템엔지니어) 외                    수정일 24/12/17","","상신브레이크(주)","2025년 상신브레이크 신입/경력 채용","진행예정","대구  달성군","대구  달성군","신입·경력","대졸↑","정규직","","Python, C++, Java, 빅데이터, SE(시스템엔지니어)","2024-12-17T10:40:01.588Z","2024-12-17T10:40:01.588Z","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49606992&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=6d68b33d-8db2-4c9f-a4dc-832537795ec6",""
"Python, Java, 솔루션, Linux, 백엔드/서버개발 외                    수정일 24/12/01","상품기획·MD 지원 급상승","(주)NE능률","2024년 12월 NE능률 신입 및 경력(수시) 채용","~ 12/31(화)","서울  마포구","서울  마포구","신입·경력","초대졸↑","정규직·계약직","","Python, Java, 솔루션, Linux, 백엔드/서버개발","2024-12-17T10:40:01.589Z","2024-12-17T10:40:01.589Z","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49498664&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=6d68b33d-8db2-4c9f-a4dc-832537795ec6",""
